referrer,views_total,views_unique
Google,66,26
github.com,25,11
docs.qualcomm.com,24,6
Bing,16,8
statics.teams.cdn.office.net,10,4
confluence.qualcomm.com,3,3
perplexity.ai,2,1
cn.bing.com,1,1
lists.trustedfirmware.org,1,1
