time_iso8601,forks_cumulative
2021-09-20 00:00:00+00:00,1
2021-10-22 00:00:00+00:00,2
2021-11-29 00:00:00+00:00,3
2024-10-04 00:00:00+00:00,4
2024-10-26 00:00:00+00:00,5
2025-01-20 00:00:00+00:00,6
