time_iso8601,stars_cumulative
2024-11-21 00:00:00+00:00,1
2025-01-04 00:00:00+00:00,2
2025-01-10 00:00:00+00:00,3
2025-01-13 00:00:00+00:00,4
2025-03-19 00:00:00+00:00,5
