referrer,views_total,views_unique
Google,452,56
Bing,79,4
github.com,51,15
qualcomm.com,48,18
thundercomm.com,43,11
docs.qualcomm.com,41,13
search.brave.com,41,5
in.search.yahoo.com,6,1
teams.microsoft.com,3,1
mail.google.com,2,2
