referrer,views_total,views_unique
Google,711,200
Bing,183,54
github.com,130,23
docs.qualcomm.com,49,9
statics.teams.cdn.office.net,21,7
mail.google.com,20,1
teams.microsoft.com,18,4
DuckDuckGo,14,6
cn.bing.com,11,7
perplexity.ai,8,2
