referrer,views_total,views_unique
Google,70,18
github.com,29,5
doc.rust-lang.org,16,3
statics.teams.cdn.office.net,10,4
cn.bing.com,3,1
DuckDuckGo,3,1
contribution-portal.qualcomm.com,1,1
