time_iso8601,forks_cumulative
2022-08-05 00:00:00+00:00,205
2022-08-06 00:00:00+00:00,207
2022-08-08 00:00:00+00:00,208
2022-08-09 00:00:00+00:00,209
2022-08-10 00:00:00+00:00,210
2022-08-19 00:00:00+00:00,212
2022-08-22 00:00:00+00:00,213
2022-08-31 00:00:00+00:00,214
2022-09-03 00:00:00+00:00,215
2022-09-06 00:00:00+00:00,216
2022-09-13 00:00:00+00:00,217
2022-09-21 00:00:00+00:00,218
2022-09-22 00:00:00+00:00,219
2022-09-28 00:00:00+00:00,220
2022-09-29 00:00:00+00:00,221
2022-09-30 00:00:00+00:00,222
2022-10-12 00:00:00+00:00,223
2022-10-14 00:00:00+00:00,224
2022-10-17 00:00:00+00:00,226
2022-10-19 00:00:00+00:00,227
2022-10-26 00:00:00+00:00,229
2022-11-01 00:00:00+00:00,230
2022-11-07 00:00:00+00:00,232
2022-11-10 00:00:00+00:00,235
2022-11-11 00:00:00+00:00,236
2022-11-13 00:00:00+00:00,237
2022-11-16 00:00:00+00:00,238
2022-11-22 00:00:00+00:00,239
2022-11-30 00:00:00+00:00,240
2022-12-01 00:00:00+00:00,242
2022-12-02 00:00:00+00:00,243
2022-12-06 00:00:00+00:00,244
2022-12-10 00:00:00+00:00,245
2022-12-15 00:00:00+00:00,246
2022-12-23 00:00:00+00:00,247
2022-12-28 00:00:00+00:00,248
2023-01-02 00:00:00+00:00,249
2023-01-16 00:00:00+00:00,250
2023-01-25 00:00:00+00:00,251
2023-02-08 00:00:00+00:00,252
2023-02-11 00:00:00+00:00,253
2023-02-15 00:00:00+00:00,255
2023-02-16 00:00:00+00:00,256
2023-02-22 00:00:00+00:00,257
2023-02-23 00:00:00+00:00,259
2023-02-24 00:00:00+00:00,260
2023-03-01 00:00:00+00:00,261
2023-03-08 00:00:00+00:00,262
2023-03-13 00:00:00+00:00,263
2023-03-15 00:00:00+00:00,265
2023-03-16 00:00:00+00:00,266
2023-03-21 00:00:00+00:00,267
2023-03-22 00:00:00+00:00,269
2023-03-25 00:00:00+00:00,271
2023-03-26 00:00:00+00:00,272
2023-03-27 00:00:00+00:00,273
2023-03-29 00:00:00+00:00,274
2023-03-31 00:00:00+00:00,275
2023-04-06 00:00:00+00:00,276
2023-04-10 00:00:00+00:00,277
2023-04-15 00:00:00+00:00,278
2023-04-23 00:00:00+00:00,279
2023-04-27 00:00:00+00:00,280
